"filename", "language", "Markdown", "XML", "C++", "Ini", "C", "comment", "blank", "total"
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionSendToBack.h", "C++", 0, 0, 12, 0, 0, 0, 8, 20
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionToPlayToDrawToggle.cpp", "C++", 0, 0, 33, 0, 0, 4, 5, 42
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionToPlayToDrawToggle.h", "C++", 0, 0, 14, 0, 0, 0, 5, 19
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\Resize.cpp", "C++", 0, 0, 38, 0, 0, 0, 8, 46
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\Resize.h", "C++", 0, 0, 12, 0, 0, 0, 4, 16
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApllicationManagerState\Header1.h", "C++", 0, 0, 10, 0, 0, 1, 1, 12
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicaionPerformanceManager\ApplicationPerformanceManager.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationFiguresHelperPanel\ApplicationFiguresHelperPanel.cpp", "C++", 0, 0, 28, 0, 0, 3, 9, 40
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationFiguresHelperPanel\ApplicationFiguresHelperPanel.h", "C++", 0, 0, 16, 0, 0, 2, 8, 26
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationManager.cpp", "C++", 0, 0, 446, 0, 0, 57, 73, 576
